정류장번호,정류장명,정류장_위도,정류장_경도,geometry,구
SEB101000001,남대문세무서.서울백병원,37.5649848,126.9875299,POINT (126.9875299 37.5649848),중구
SEB101000002,서울백병원.국가인권위.안중근활동터,37.5643504,126.9878515,POINT (126.9878515 37.5643504),중구
SEB101000003,서울역버스환승센터,37.555146,126.972257,POINT (126.972257 37.555146),중구
SEB101000004,서울역버스환승센터,37.5554462,126.9723557,POINT (126.9723557 37.5554462),중구
SEB101000005,서울역버스환승센터,37.5553876,126.9727617,POINT (126.9727617 37.5553876),중구
SEB101000006,서울역버스환승센터,37.5554794,126.9728547,POINT (126.9728547 37.5554794),중구
SEB101000007,서울역버스환승센터.강우규의거터,37.5556138,126.9729705,POINT (126.9729705 37.5556138),중구
SEB101000008,숭례문,37.5586388,126.9737783,POINT (126.9737783 37.5586388),중구
SEB101000009,만리동고개,37.551787,126.9626582,POINT (126.9626582 37.551787),중구
SEB101000010,손기정체육공원입구,37.5544459,126.9662339,POINT (126.9662339 37.5544459),중구
SEB101000011,서울의료보건고등학교.서울역서부,37.5561691,126.9687868,POINT (126.9687868 37.5561691),중구
SEB101000012,서울역서부,37.5563255,126.9693762,POINT (126.9693762 37.5563255),중구
SEB101000013,서울역서부,37.5569979,126.9692772,POINT (126.9692772 37.5569979),중구
SEB101000014,중림동교차로,37.5583836,126.9691354,POINT (126.9691354 37.5583836),중구
SEB101000015,종근당.충정로역,37.5595131,126.9644805,POINT (126.9644805 37.5595131),중구
SEB101000016,한국경제신문사.서소문역사공원,37.5602111,126.967868,POINT (126.967868 37.5602111),중구
SEB101000017,한국경제신문사.서소문역사공원,37.5606234,126.9681135,POINT (126.9681135 37.5606234),중구
SEB101000018,경찰청.동북아역사재단,37.5630494,126.9691267,POINT (126.9691267 37.5630494),중구
SEB101000020,서대문경찰서.농협은행.유관순활동터,37.5649062,126.9677868,POINT (126.9677868 37.5649062),중구
SEB101000021,염천교,37.5598597,126.9733602,POINT (126.9733602 37.5598597),중구
SEB101000022,숭례문,37.5582968,126.9732932,POINT (126.9732932 37.5582968),중구
SEB101000023,숭례문.한국일보,37.5587713,126.9737375,POINT (126.9737375 37.5587713),중구
SEB101000025,후암삼거리,37.5533418,126.9760823,POINT (126.9760823 37.5533418),중구
SEB101000026,숭례문,37.5587633,126.9743627,POINT (126.9743627 37.5587633),중구
SEB101000027,숭례문,37.5584195,126.9740436,POINT (126.9740436 37.5584195),중구
SEB101000028,숭례문,37.5580006,126.9736279,POINT (126.9736279 37.5580006),중구
SEB101000029,남대문시장악세사리전문상가,37.5586132,126.9762051,POINT (126.9762051 37.5586132),중구
SEB101000030,숭례문남산방향,37.5585581,126.975672,POINT (126.975672 37.5585581),중구
SEB101000031,남대문시장,37.561191,126.9800597,POINT (126.9800597 37.561191),중구
SEB101000032,북창동.남대문시장,37.561175,126.97792,POINT (126.97792 37.561175),중구
SEB101000033,시청앞,37.5623584,126.9765742,POINT (126.9765742 37.5623584),중구
SEB101000034,삼성본관앞,37.5620517,126.9759075,POINT (126.9759075 37.5620517),중구
SEB101000035,시청앞,37.5627642,126.9761487,POINT (126.9761487 37.5627642),중구
SEB101000036,서소문,37.5632067,126.9748872,POINT (126.9748872 37.5632067),중구
SEB101000037,서소문,37.5636754,126.9753398,POINT (126.9753398 37.5636754),중구
SEB101000039,서울신문사,37.5683632,126.9773647,POINT (126.9773647 37.5683632),중구
SEB101000040,우리은행종로지점,37.567519,126.9829289,POINT (126.9829289 37.567519),중구
SEB101000041,롯데백화점,37.5644917,126.9820649,POINT (126.9820649 37.5644917),중구
SEB101000042,해운센터.롯데영프라자,37.5628907,126.9815478,POINT (126.9815478 37.5628907),중구
SEB101000043,롯데영프라자,37.562885,126.982008,POINT (126.982008 37.562885),중구
SEB101000045,신세계앞,37.5608492,126.9815255,POINT (126.9815255 37.5608492),중구
SEB101000046,남대문시장.회현역,37.5582675,126.977765,POINT (126.977765 37.5582675),중구
