분류1,명칭,도로명 주소,분류2,분류3,위도,경도
문화재,구 신아일보사 별관(舊新亞日報社別館),중구 정동길 33,문화재,유형/등록문화재,37.56618995,126.972150264202
문화재,남대문로 한국전력 사옥(南大門路韓國電力社屋),중구 남대문로 92,문화재,유형/등록문화재,37.56427954999999,126.9776307586089
문화재,미국공사관(美國公使館),중구 덕수궁길 83,문화재,유형/등록문화재,37.56688875,126.9730191332483
문화재,서울시청 청사(서울市廳廳舍),중구 세종대로 110,문화재,유형/등록문화재,37.56635025,126.978309002761
문화재,성공회 성당(聖公會聖堂),중구 세종대로21길 15,문화재,유형/등록문화재,37.56693485,126.97542675
문화재,성제묘(聖宰廟),중구 동호로 385-1,문화재,유형/등록문화재,37.5603991,127.002811
문화재,수표교(水標橋),중구 동호로 257-10,문화재,유형/등록문화재,37.5525369,127.0124355
문화재,신당동 박정희대통령 가옥(新堂洞朴正熙大統領家屋),중구 다산로36가길 25,문화재,유형/등록문화재,37.56149535,127.0198591117057
문화재,옛 제일은행 본점(舊弟一銀行本店),중구 남대문로 42,문화재,유형/등록문화재,37.5604407,126.9759197
문화재,장충단비(奬忠壇碑),중구 동호로 257-10,문화재,유형/등록문화재,37.5525369,127.0124355
문화재,정동 이화여고 심슨기념관(貞洞梨花女高심슨記念館),중구 정동길 26,문화재,유형/등록문화재,37.5665663,126.9709728
문화재,태평로 구 국회의사당(太平路舊國會議事堂),중구 세종대로 125,문화재,유형/등록문화재,37.5644624,126.977128
문화재,남별영?남소영 터 (南別營?南小營址),중구 퇴계로34길 28,문화재,문화유적/동상,37.5592839,126.9944767
문화재,구 미국문화원(舊美國文化院),중구  을지로 23,문화재,유형/등록문화재,37.5662965,126.9803908525493
문화재,은성주점 터(銀星酒店址),중구 명동3길 6,문화재,문화유적/동상,37.5649181,126.9834904
문화재,광희문(光熙門),중구 퇴계로 344,문화재,국보/사적,37.5643514,127.0099293291014
문화재,구 러시아공사관(舊러시아公使館),중구 정동길 21-18,문화재,국보/사적,37.5665663,126.9709728
문화재,덕수궁(德壽宮),중구 세종대로 99,문화재,국보/사적,37.56633145,126.973899763212
문화재,명동성당(明洞聖堂),중구 명동길 74,문화재,국보/사적,37.5633619,126.9860183448659
문화재,서울 역사(驛舍),중구 통일로 1,문화재,국보/사적,37.5572572,126.9712392
문화재,서울성곽(城郭),중구 퇴계로56길 47,문화재,국보/사적,37.5629768,127.0059022
문화재,숭례문(崇禮門),중구 세종대로 40,문화재,국보/사적,37.5599919999999,126.975355576993
문화재,약현성당(藥峴聖堂),중구 청파로 447-1,문화재,국보/사적,37.5591207,126.9674944
문화재,약현성당(藥峴聖堂),중구 청파로 447-1,문화재,국보/사적,37.5591207,126.9674944
문화재,정동교회(貞洞敎會),중구 정동길 46,문화재,국보/사적,37.5665663,126.9709728
문화재,중명전(重明殿),중구 정동길 41-11,문화재,국보/사적,37.56671195,126.9725538853481
문화재,청계천 유적,중구 청계천로 54,문화재,국보/사적,37.56806324999999,126.9836215495773
문화재,한국은행 본관(韓國銀行本館),중구 남대문로 39,문화재,국보/사적,37.5604407,126.9759197
문화재,환구단( 丘壇),중구 소공로 112,문화재,국보/사적,37.5597632,126.982249
문화재,관성묘(關聖廟),중구 동호로30길 2,문화재,기념물/민속문화재,37.561379,127.0045536
문화재,광통관(廣通館),중구 남대문로 118,문화재,기념물/민속문화재,37.5604407,126.9759197
문화재,구세군 중앙회관 (救世軍中央會館),중구 덕수궁길 130,문화재,기념물/민속문화재,37.56875,126.97425
문화재,만리동 정영국 가옥(萬里洞鄭榮國家屋),중구 만리재로21길 8,문화재,기념물/민속문화재,37.5561179,126.9679528
문화재,목멱산 봉수대 터(木覓山烽燧臺터),중구 남산공원길 125-54,문화재,기념물/민속문화재,37.5545516,126.9934129
문화재,배재학당 동관(培材學堂東館),중구 서소문로11길 19,문화재,기념물/민속문화재,37.5642501,126.9728393
문화재,부마도위 박영효 가옥 (駙馬都慰朴泳孝家屋),중구 퇴계로34길 28,문화재,기념물/민속문화재,37.5592839,126.9944767
문화재,삼각동 도편수 이승업 가옥(三角洞都遍首李承業家屋),중구 퇴계로34길 28,문화재,기념물/민속문화재,37.5592839,126.9944767
문화재,삼청동 오위장 김춘영 가옥 (三淸洞五衛將金春永家屋),중구 퇴계로34길 28,문화재,기념물/민속문화재,37.5592839,126.9944767
문화재,손기정 월계관 기념수(孫基禎月桂冠紀念樹),중구 손기정로 101,문화재,기념물/민속문화재,37.5552947,126.963736
문화재,와룡묘(臥龍廟),중구 남산공원길 609,문화재,기념물/민속문화재,37.5545516,126.9934129
문화재,제기동 해풍부원군 윤택영 재실(祭基洞海豊府院君尹澤榮齋室),중구 퇴계로34길 28,문화재,기념물/민속문화재,37.5592839,126.9944767
문화재,3.1운동 기념터 : 세브란스 병원,중구  통일로 10,문화재,문화유적/동상,37.5572801,126.9722447
문화재,3?1독립운동 기념터,중구 남대문로 39,문화재,문화유적/동상,37.5604407,126.9759197
문화재,3?1운동기념터 (三一運動紀念址),중구 통일로 21,문화재,문화유적/동상,37.55759585,126.9714273
문화재,3ㆍ1독립운동 기념탑,중구 장충단로 59,문화재,문화유적/동상,37.5601768,127.005621
문화재,가산 터(假山址),중구 장충단로 280,문화재,문화유적/동상,37.5601768,127.005621
문화재,강우규의사 항일의거 자리,중구 청파로 426,문화재,문화유적/동상,37.5575041,126.9690867
문화재,강희맹 집터(姜希孟家址),중구 통일로 48,문화재,문화유적/동상,37.5572801,126.9722447
