분류1,명칭,도로명 주소,분류2,분류3,위도,경도
문화공간(볼거리),덕수궁 미술관,중구 세종대로 99,문화공간,전시장,37.56633145,126.9738997632125
문화공간(볼거리),국립중앙극장,중구 장충단로 59,문화공간,공연장,37.5601768,127.005621
문화공간(볼거리),국립중앙극장  ,중구 장충단로 59,문화공간,공연장,37.5601768,127.005621
문화공간(볼거리),남산예술센터,중구 명동길 35,문화공간,공연장,37.5638495,126.9851142
문화공간(볼거리),남산예술센터,중구 소파로 138,문화공간,공연장,37.55614,126.97913
문화공간(볼거리),명동(삼일로) 창고극장,중구 삼일대로 9-12,문화공간,공연장,37.5589046,126.9918561
문화공간(볼거리),명동난타전용관 ,중구 명동길 26,문화공간,공연장,37.5638495,126.9851142
문화공간(볼거리),명동성당 꼬스트홀,중구 명동길 74,문화공간,공연장,37.5633619,126.9860183448659
문화공간(볼거리),명동예술극장 ,중구 명동길 35,문화공간,공연장,37.5638495,126.9851142
문화공간(볼거리),명동창고극장 ,중구 삼일대로 9-12,문화공간,공연장,37.5589046,126.9918561
문화공간(볼거리),명보아트홀,중구 마른내로 47,문화공간,공연장,37.5643193,126.9973687
문화공간(볼거리),문화일보홀 ,중구 새문안로 22,문화공간,공연장,37.5661569,126.9671166
문화공간(볼거리),서울남산국악당 ,중구 퇴계로 34-28,문화공간,공연장,37.5596957,126.9809292
문화공간(볼거리),서울애니메이션센터,중구 소파로 126,문화공간,공연장,37.55614,126.97913
문화공간(볼거리),서울패션아트홀 ,중구 퇴계로73길 50,문화공간,공연장,37.5665388,127.0139754
문화공간(볼거리),여해문화공간 ,중구 장충단로 204,문화공간,공연장,37.5601768,127.005621
문화공간(볼거리),안중근의사 기념관 ,중구 소월로 91,문화공간,기념관,37.55587,126.97687
문화공간(볼거리),영락교회 50주년 기념관 ,중구 수표로 33,문화공간,기념관,37.567547,126.9896042
문화공간(볼거리),남산도서관 ,용산구 소월로 109,문화공간,도서관,37.54527,126.99049
문화공간(볼거리),손기정 도서관 ,중구 손기정로 101,문화공간,도서관,37.5552947,126.963736
문화공간(볼거리),농업박물관,중구 새문안로 16,문화공간,박물관,37.5661569,126.9671166
문화공간(볼거리),동국대학교 박물관,중구 필동로1길 30,문화공간,박물관,37.5569913,126.9994892
문화공간(볼거리),샬트르성바오로수녀회 역사박물관 ,중구 명동길 74-2,문화공간,박물관,37.5624339,126.9883835224381
문화공간(볼거리),우리은행사박물관,중구 소공로 51,문화공간,박물관,37.5649179,126.9782113
문화공간(볼거리),종이나라박물관,중구 장충단로 116,문화공간,박물관,37.5601768,127.005621
문화공간(볼거리),지구촌민속교육박물관,중구 소파로 46,문화공간,박물관,37.55614,126.97913
문화공간(볼거리),초전섬유 퀼트박물관,중구 퇴계로 18-66,문화공간,박물관,37.5628723,127.0009324
문화공간(볼거리),한국금융사박물관,중구 세종대로 135-5,문화공간,박물관,37.5644624,126.977128
문화공간(볼거리),화폐금융박물관,중구 남대문로 39,문화공간,박물관,37.5604407,126.9759197
문화공간(볼거리),CGV 명동,중구 명동길 14,문화공간,영화관,37.5634775,126.983132
문화공간(볼거리),KTX시네마 ,중구 퇴계로36나길 33,문화공간,영화관,37.5568037,126.9944418
문화공간(볼거리),대한극장 ,중구 퇴계로 212,문화공간,영화관,37.5611592,126.9953237
문화공간(볼거리),롯데시네마 에비뉴엘,중구 남대문로 73,문화공간,영화관,37.564261,126.981799
문화공간(볼거리),메가박스 동대문,중구 장충단로 247,문화공간,영화관,37.5667161,127.0075377312357
문화공간(볼거리),서울애니시네마 ,중구 소파로 126,문화공간,영화관,37.55614,126.97913
문화공간(볼거리),스폰지하우스 광화문ㅣ 영화관 옆 미술관 ,중구 세종대로21길 40,문화공간,영화관,37.5676145,126.9757627
문화공간(볼거리),씨너스EOE4 ,중구 장충단로 72,문화공간,영화관,37.5601768,127.005621
문화공간(볼거리),DDP(동대문 디자인 플라자),중구 을지로 281,문화공간,전시장,37.56706855,127.0098989856509
문화공간(볼거리),관광안내전시관,중구 청계천로 40,문화공간,전시장,37.5685444,126.9813199
문화공간(볼거리),이화여고 100주년 기념관,중구 정동길 26,문화공간,공연장,37.5665663,126.9709728
문화공간(볼거리),이화여고100주년기념관 ,중구 정동길 26,문화공간,공연장,37.5665663,126.9709728
문화공간(볼거리),정동극장,중구 정동길 43,문화공간,공연장,37.56586475,126.972772345939
문화공간(볼거리),충무아트홀,중구 퇴계로 387,문화공간,공연장,37.5656896,127.0147354677999
문화공간(볼거리),한국의집 민속극장 ,중구 퇴계로36길 10,문화공간,공연장,37.5602405,126.994884519554
문화공간(볼거리),한화손보(구 제일화재) 세실극장,중구 세종대로19길 16,문화공간,공연장,37.5666738,126.9757189
문화공간(볼거리),한화손보(구 제일화재) 세실극장,중구 세종대로19길 16,문화공간,공연장,37.5666738,126.9757189
문화공간(볼거리),해치홀,중구 명동8길 27,문화공간,공연장,37.5619344,126.9844196
문화공간(볼거리),호암아트홀,중구 서소문로 88,문화공간,공연장,37.5615397,126.9681288
문화공간(볼거리),남산공원 ,중구 삼일대로 231,문화공간,공원,37.5589046,126.9918561
