분류1,명칭,도로명 주소,분류2,분류3,위도,경도
맛집,전주중앙회관,중구 명동8나길 19,맛집,한식,37.5611004,126.9837379684861
맛집,전주풍남회관,중구 세종대로21길 48,맛집,한식,37.5676145,126.9757627
맛집,정성본샤브수끼,중구 을지로43길 30,맛집,한식,37.567008,127.0071137
맛집,정통삼계탕,중구 수표로 72-4,맛집,한식,37.567547,126.9896042
맛집,제일가든,중구 무교로 17-17,맛집,한식,37.5675475,126.9791037
맛집,제일냉면숯불갈비,중구 남대문로1길 42,맛집,한식,37.56231615,126.9784639223757
맛집,조마루,중구 수표로 20-1,맛집,한식,37.567547,126.9896042
맛집,주원산오리,중구 을지로43길 9-8,맛집,한식,37.567008,127.0071137
맛집,중앙회관,중구 명동8나길 19,맛집,한식,37.5611004,126.9837379684861
맛집,지이오,중구 세종대로1길 13,맛집,한식,37.5582934,126.9725207
맛집,지화자장충점,중구 장충단로 59,맛집,한식,37.5601768,127.005621
맛집,진고개,중구 충무로 19-1,맛집,한식,37.5674541,126.9925184
맛집,진두부집,중구 동호로24길 39,맛집,한식,37.5601251,127.0050391
맛집,진미족발,중구 다동길 24-4,맛집,한식,37.56756145,126.9803971072
맛집,진주회관,중구 세종대로11길 26,맛집,한식,37.561896,126.9752689
맛집,충무로돼지갈비,중구 수표로6길 39,맛집,한식,37.5628619,126.9918622
맛집,충무집,중구 남대문로9길 24,맛집,한식,37.5670765,126.981058745518
맛집,태진숯불갈비,중구 무교로 17-25,맛집,한식,37.5675475,126.9791037
맛집,토랑토,중구 다산로 289,맛집,한식,37.5507793,127.0076435
맛집,평래옥,중구 마른내로 21-1,맛집,한식,37.5644364,127.0048558
맛집,평양면옥(장충동),중구 장충단로 207,맛집,한식,37.5631274,127.0065764
맛집,평옥칡냉면,중구 마장로15길 16,맛집,한식,37.5688516,127.0219154
맛집,평창우선생,중구 통일로 102,맛집,한식,37.5572801,126.9722447
맛집,풀향기,중구 동호로 268-8,맛집,한식,37.5557491,127.0099261
맛집,필동면옥,중구 서애로 26,맛집,한식,37.5617909,126.9984228
맛집,하누소(회현점),중구 퇴계로 72,맛집,한식,37.5596957,126.9809292
맛집,하동관,중구 명동9길 12,맛집,한식,37.5643349,126.9850054
맛집,한국의집,중구 퇴계로36길 10,맛집,한식,37.5602405,126.994884519554
맛집,한성옥,중구 동호로24길 27-7,맛집,한식,37.5601251,127.0050391
맛집,한우리참숯집,중구 을지로 251,맛집,한식,37.565877,126.9802901
맛집,한창가든,중구 서소문로 89-20,맛집,한식,37.5615397,126.9681288
맛집,함흥냉면,중구 마른내로 108,맛집,한식,37.5643193,126.9973687
맛집,함흥냉면(약수점),중구 다산로 133,맛집,한식,37.5507793,127.0076435
맛집,햇살마루,중구 세종대로2길 11,맛집,한식,37.5574287,126.9744131
맛집,화성,중구 세종대로 136,맛집,한식,37.568291,126.977942
맛집,황소집,중구 충무로2길 2,맛집,한식,37.5624936,126.9944298
맛집,황토골,중구 서애로 6-1,맛집,한식,37.56062,126.9980422
맛집,석산정,중구 을지로 153-3,맛집,한식,37.565877,126.9802901
맛집,석천,중구 퇴계로 36,맛집,한식,37.5596957,126.9809292
맛집,미도리일식,중구 퇴계로22길 7,맛집,일식,37.5605471,126.9878836
맛집,미조리,중구 세종대로18길 24,맛집,일식,37.5635724,126.9784075043781
맛집,복수사일식,중구 퇴계로 132,맛집,일식,37.5596957,126.9809292
맛집,사보텐 무교점,중구 세종대로20길 23,맛집,일식,37.5670024,126.9781588
