분류1,명칭,도로명 주소,분류2,분류3,위도,경도
쇼핑(살거리),롯데면세점 ,중구 남대문로 81,쇼핑,면세점,37.56485565,126.9817065329031
쇼핑(살거리),신라면세점,중구 동호로 249,쇼핑,면세점,37.5560002,127.0051694
쇼핑(살거리),롯데백화점 ,중구 남대문로 81,쇼핑,백화점,37.56485565,126.9817065329031
쇼핑(살거리),신세계백화점 ,중구 퇴계로 97,쇼핑,백화점,37.5611576,126.9827832
쇼핑(살거리),골든타운 ,중구 마장로 34,쇼핑,쇼핑타운,37.5683615,127.0107085
쇼핑(살거리),굿모닝시티,중구 장충단로 247,쇼핑,쇼핑타운,37.5667161,127.0075377312357
쇼핑(살거리),누죤,중구 을지로45길 62,쇼핑,쇼핑타운,37.56690025,127.0130104262074
쇼핑(살거리),두산타워,중구 장충단로 275,쇼핑,쇼핑타운,37.56866205,127.008718439833
쇼핑(살거리),디오트 ,중구 다산로 293,쇼핑,쇼핑타운,37.5507793,127.0076435
쇼핑(살거리),디자이너클럽 ,중구 을지로45길 72,쇼핑,쇼핑타운,37.5665208,127.0121775
쇼핑(살거리),케레스타 ,중구 장충단로13길 20,쇼핑,쇼핑타운,37.5676735,127.0084005
쇼핑(살거리),테크노상가,중구 마장로1가길 17,쇼핑,쇼핑타운,37.5691559,127.0140304
쇼핑(살거리),헬로에이피엠,중구 장충단로 253,쇼핑,쇼핑타운,37.56742945000001,127.00805905108
쇼핑(살거리),혜양엘리시움 ,중구 마장로1길 18,쇼핑,쇼핑타운,37.5684462,127.0123239
쇼핑(살거리),광희시장 ,중구 마장로1길 21,쇼핑,전통시장,37.56865805,127.0119063982
쇼핑(살거리),남대문시장,중구 남대문시장4길 21,쇼핑,전통시장,37.5589236,126.9764402
쇼핑(살거리),남평화시장 ,중구 장충단로 282-10,쇼핑,전통시장,37.5601768,127.005621
쇼핑(살거리),동평화시장,중구 청계천로 318,쇼핑,전통시장,37.5686536,126.9822422
쇼핑(살거리),동화시장 ,중구 장충단로13길 20,쇼핑,전통시장,37.5676735,127.0084005
쇼핑(살거리),동화시장 ,중구 장충단로13길 34,쇼핑,전통시장,37.5676735,127.0084005
쇼핑(살거리),방산종합시장,중구 동호로37길 20,쇼핑,전통시장,37.56869425,127.0007943560138
쇼핑(살거리),삼익패션타운 ,중구 남대문시장8길 7,쇼핑,전통시장,37.5594036,126.9786697
쇼핑(살거리),서울중앙시장 ,중구 퇴계로85길 22,쇼핑,전통시장,37.5670739,127.0196397
쇼핑(살거리),숭례문 수입상가 ,중구 남대문시장4길 28-16,쇼핑,전통시장,37.5589236,126.9764402
쇼핑(살거리),신중부시장 ,중구 을지로32길 24,쇼핑,전통시장,37.5649811,127.0004002
쇼핑(살거리),신평화패션타운,중구 장충단로 282-10,쇼핑,전통시장,37.5601768,127.005621
쇼핑(살거리),에리어식스 ,중구 마장로 19,쇼핑,전통시장,37.5679162,127.0126083
쇼핑(살거리),자유상가,중구 남대문로 36,쇼핑,전통시장,37.5604407,126.9759197
쇼핑(살거리),제일평화시장 ,중구 마장로 11,쇼핑,전통시장,37.5679162,127.0126083
쇼핑(살거리),중부시장 ,중구 을지로36길 35,쇼핑,전통시장,37.5654661,127.001591
쇼핑(살거리),청평화시장 ,중구 청계천로 334,쇼핑,전통시장,37.5679375,126.9876113
쇼핑(살거리),통일시장 ,중구 장충단로13길 20,쇼핑,전통시장,37.5676735,127.0084005
쇼핑(살거리),평화시장 ,중구 장충단로 13-20,쇼핑,전통시장,37.5601768,127.005621
쇼핑(살거리),디자이너클럽,중구 을지로45길 72,쇼핑,쇼핑타운,37.5665208,127.0121775
쇼핑(살거리),DDP패션몰 ,중구 마장로 22,쇼핑,쇼핑타운,37.5683615,127.0107085
쇼핑(살거리),밀리오레 ,중구 퇴계로 115 ,쇼핑,쇼핑타운,37.5610311,126.984686
쇼핑(살거리),베네치아메가몰,중구 청계천로 400   ,쇼핑,쇼핑타운,37.5710644,127.0206992783449
쇼핑(살거리),스튜디오W ,중구 마장로1길 22,쇼핑,쇼핑타운,37.5684462,127.0123239
쇼핑(살거리),신세계 이마트 청계천점 ,중구 청계천로 400   ,쇼핑,쇼핑타운,37.5710644,127.0206992783449
쇼핑(살거리),신평화패션타운 ,중구 청계천로 298,쇼핑,쇼핑타운,37.5679375,126.9876113
쇼핑(살거리),아트프라자 ,중구 마장로1길 28,쇼핑,쇼핑타운,37.5684462,127.0123239
쇼핑(살거리),에이피엠패션몰 ,중구 마장로 40,쇼핑,쇼핑타운,37.5683615,127.0107085
쇼핑(살거리),밀리오레 ,중구 장충단로 263,쇼핑,쇼핑타운,37.5601768,127.005621
