이름,최대인원,침실,침대,욕실,가격,detail내용,위도,경도,geometry,지하철까지거리m,지하철역,가장 가까운 버스정류장까지 거리(m),가장 가까운 버스정류장,1000버퍼,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑
WECOSTAY Myeongdong B,2,1,1,1.0,93750,,37.563297,126.998434,POINT (955703.8471960555 1951666.896506659),370.0759769565462,을지로4가역,127.67719892052246,퇴계로5가,"POLYGON ((956703.8471960555 1951666.896506659, 956699.0319227277 1951568.8793663294, 956684.6324764587 1951471.806184643, 956660.7875317876 1951376.6118294045, 956627.7267285667 1951284.213074294, 956585.7684604038 1951195.499769833, 956535.316808358 1951111.3262736395, 956476.8576494182 1951032.5032224953, 956410.953977242 1950959.7897254725, 956338.2404802191 1950893.8860532963, 956259.4174290751 1950835.4268943565, 956175.2439328815 1950784.9752423107, 956086.5306284205 1950743.0169741476, 955994.13187331 1950709.9561709268, 955898.9375180716 1950686.1112262558, 955801.864336385 1950671.7117799867, 955703.8471960555 1950666.896506659, 955605.8300557259 1950671.7117799867, 955508.7568740393 1950686.1112262558, 955413.562518801 1950709.9561709268, 955321.1637636904 1950743.0169741476, 955232.4504592294 1950784.9752423107, 955148.2769630358 1950835.4268943565, 955069.4539118918 1950893.8860532963, 954996.7404148689 1950959.7897254725, 954930.8367426927 1951032.5032224953, 954872.377583753 1951111.3262736395, 954821.9259317071 1951195.499769833, 954779.9676635442 1951284.213074294, 954746.9068603233 1951376.6118294045, 954723.0619156522 1951471.806184643, 954708.6624693832 1951568.8793663294, 954703.8471960555 1951666.896506659, 954708.6624693832 1951764.9136469886, 954723.0619156522 1951861.986828675, 954746.9068603233 1951957.1811839135, 954779.9676635442 1952049.579939024, 954821.9259317071 1952138.293243485, 954872.377583753 1952222.4667396785, 954930.8367426927 1952301.2897908227, 954996.7404148689 1952374.0032878455, 955069.4539118918 1952439.9069600217, 955148.2769630358 1952498.3661189615, 955232.4504592294 1952548.8177710073, 955321.1637636904 1952590.7760391703, 955413.562518801 1952623.8368423912, 955508.7568740393 1952647.6817870622, 955605.8300557259 1952662.0812333312, 955703.8471960555 1952666.896506659, 955801.864336385 1952662.0812333312, 955898.9375180716 1952647.6817870622, 955994.13187331 1952623.8368423912, 956086.5306284205 1952590.7760391703, 956175.2439328815 1952548.8177710073, 956259.4174290751 1952498.3661189615, 956338.2404802191 1952439.9069600217, 956410.953977242 1952374.0032878455, 956476.8576494182 1952301.2897908227, 956535.316808358 1952222.4667396785, 956585.7684604038 1952138.293243485, 956627.7267285667 1952049.579939024, 956660.7875317876 1951957.1811839135, 956684.6324764587 1951861.986828675, 956699.0319227277 1951764.9136469886, 956703.8471960555 1951666.896506659))",60,20,34,9
urbanstay : 명동역 5분거리 / 힙지로 #취사가능,2,1,1,1.0,121260,,37.563184,126.99324,POINT (955245.0647596897 1951656.820513813),208.08951311487388,충무로역,21.254978974570697,초동,"POLYGON ((956245.0647596897 1951656.820513813, 956240.249486362 1951558.8033734835, 956225.850040093 1951461.730191797, 956202.0050954219 1951366.5358365586, 956168.944292201 1951274.137081448, 956126.986024038 1951185.423776987, 956076.5343719922 1951101.2502807935, 956018.0752130524 1951022.4272296494, 955952.1715408763 1950949.7137326265, 955879.4580438534 1950883.8100604503, 955800.6349927094 1950825.3509015106, 955716.4614965158 1950774.8992494647, 955627.7481920548 1950732.9409813017, 955535.3494369442 1950699.8801780809, 955440.1550817059 1950676.0352334098, 955343.0819000193 1950661.6357871408, 955245.0647596897 1950656.820513813, 955147.0476193601 1950661.6357871408, 955049.9744376736 1950676.0352334098, 954954.7800824352 1950699.8801780809, 954862.3813273247 1950732.9409813017, 954773.6680228637 1950774.8992494647, 954689.4945266701 1950825.3509015106, 954610.6714755261 1950883.8100604503, 954537.9579785032 1950949.7137326265, 954472.054306327 1951022.4272296494, 954413.5951473872 1951101.2502807935, 954363.1434953414 1951185.423776987, 954321.1852271785 1951274.137081448, 954288.1244239575 1951366.5358365586, 954264.2794792865 1951461.730191797, 954249.8800330175 1951558.8033734835, 954245.0647596897 1951656.820513813, 954249.8800330175 1951754.8376541426, 954264.2794792865 1951851.910835829, 954288.1244239575 1951947.1051910676, 954321.1852271785 1952039.5039461781, 954363.1434953414 1952128.217250639, 954413.5951473872 1952212.3907468326, 954472.054306327 1952291.2137979767, 954537.9579785032 1952363.9272949996, 954610.6714755261 1952429.8309671758, 954689.4945266701 1952488.2901261155, 954773.6680228637 1952538.7417781614, 954862.3813273247 1952580.7000463244, 954954.7800824352 1952613.7608495452, 955049.9744376736 1952637.6057942163, 955147.0476193601 1952652.0052404853, 955245.0647596897 1952656.820513813, 955343.0819000193 1952652.0052404853, 955440.1550817059 1952637.6057942163, 955535.3494369442 1952613.7608495452, 955627.7481920548 1952580.7000463244, 955716.4614965158 1952538.7417781614, 955800.6349927094 1952488.2901261155, 955879.4580438534 1952429.8309671758, 955952.1715408763 1952363.9272949996, 956018.0752130524 1952291.2137979767, 956076.5343719922 1952212.3907468326, 956126.986024038 1952128.217250639, 956168.944292201 1952039.5039461781, 956202.0050954219 1951947.1051910676, 956225.850040093 1951851.910835829, 956240.249486362 1951754.8376541426, 956245.0647596897 1951656.820513813))",80,24,39,7
"[쉼,]고층 편안한 숙소",2,1,1,1.0,95437,,37.564704,126.993192,POINT (955241.7349844276 1951825.4797301996),221.54588408672916,을지로3가역,150.87699517924045,초동,"POLYGON ((956241.7349844276 1951825.4797301996, 956236.9197110998 1951727.46258987, 956222.5202648308 1951630.3894081835, 956198.6753201598 1951535.195052945, 956165.6145169388 1951442.7962978345, 956123.6562487759 1951354.0829933735, 956073.2045967301 1951269.90949718, 956014.7454377903 1951191.086446036, 955948.8417656141 1951118.372949013, 955876.1282685912 1951052.4692768368, 955797.3052174472 1950994.010117897, 955713.1317212536 1950943.5584658512, 955624.4184167926 1950901.6001976882, 955532.0196616821 1950868.5393944674, 955436.8253064437 1950844.6944497963, 955339.7521247572 1950830.2950035273, 955241.7349844276 1950825.4797301996, 955143.717844098 1950830.2950035273, 955046.6446624114 1950844.6944497963, 954951.4503071731 1950868.5393944674, 954859.0515520625 1950901.6001976882, 954770.3382476015 1950943.5584658512, 954686.1647514079 1950994.010117897, 954607.3417002639 1951052.4692768368, 954534.628203241 1951118.372949013, 954468.7245310649 1951191.086446036, 954410.2653721251 1951269.90949718, 954359.8137200793 1951354.0829933735, 954317.8554519163 1951442.7962978345, 954284.7946486954 1951535.195052945, 954260.9497040244 1951630.3894081835, 954246.5502577553 1951727.46258987, 954241.7349844276 1951825.4797301996, 954246.5502577553 1951923.4968705291, 954260.9497040244 1952020.5700522156, 954284.7946486954 1952115.764407454, 954317.8554519163 1952208.1631625646, 954359.8137200793 1952296.8764670256, 954410.2653721251 1952381.049963219, 954468.7245310649 1952459.8730143632, 954534.628203241 1952532.586511386, 954607.3417002639 1952598.4901835623, 954686.1647514079 1952656.949342502, 954770.3382476015 1952707.4009945479, 954859.0515520625 1952749.359262711, 954951.4503071731 1952782.4200659317, 955046.6446624114 1952806.2650106028, 955143.717844098 1952820.6644568718, 955241.7349844276 1952825.4797301996, 955339.7521247572 1952820.6644568718, 955436.8253064437 1952806.2650106028, 955532.0196616821 1952782.4200659317, 955624.4184167926 1952749.359262711, 955713.1317212536 1952707.4009945479, 955797.3052174472 1952656.949342502, 955876.1282685912 1952598.4901835623, 955948.8417656141 1952532.586511386, 956014.7454377903 1952459.8730143632, 956073.2045967301 1952381.049963219, 956123.6562487759 1952296.8764670256, 956165.6145169388 1952208.1631625646, 956198.6753201598 1952115.764407454, 956222.5202648308 1952020.5700522156, 956236.9197110998 1951923.4968705291, 956241.7349844276 1951825.4797301996))",79,21,31,6
어반스테이 명동 님이 호스팅하는 레지던스 전체1,2,1,1,1.0,121260,,37.564046,126.992536,POINT (955183.4063838253 1951752.7905649876),261.5816681839944,을지로3가역,92.86094231708623,초동,"POLYGON ((956183.4063838253 1951752.7905649876, 956178.5911104976 1951654.773424658, 956164.1916642286 1951557.7002429715, 956140.3467195575 1951462.505887733, 956107.2859163366 1951370.1071326225, 956065.3276481737 1951281.3938281615, 956014.8759961278 1951197.220331968, 955956.4168371881 1951118.397280824, 955890.5131650119 1951045.683783801, 955817.799667989 1950979.7801116249, 955738.976616845 1950921.320952685, 955654.8031206514 1950870.8693006393, 955566.0898161904 1950828.9110324762, 955473.6910610799 1950795.8502292554, 955378.4967058415 1950772.0052845844, 955281.4235241549 1950757.6058383153, 955183.4063838253 1950752.7905649876, 955085.3892434958 1950757.6058383153, 954988.3160618092 1950772.0052845844, 954893.1217065708 1950795.8502292554, 954800.7229514603 1950828.9110324762, 954712.0096469993 1950870.8693006393, 954627.8361508057 1950921.320952685, 954549.0130996617 1950979.7801116249, 954476.2996026388 1951045.683783801, 954410.3959304626 1951118.397280824, 954351.9367715229 1951197.220331968, 954301.485119477 1951281.3938281615, 954259.5268513141 1951370.1071326225, 954226.4660480932 1951462.505887733, 954202.6211034221 1951557.7002429715, 954188.2216571531 1951654.773424658, 954183.4063838253 1951752.7905649876, 954188.2216571531 1951850.8077053172, 954202.6211034221 1951947.8808870036, 954226.4660480932 1952043.075242242, 954259.5268513141 1952135.4739973526, 954301.485119477 1952224.1873018136, 954351.9367715229 1952308.360798007, 954410.3959304626 1952387.1838491512, 954476.2996026388 1952459.897346174, 954549.0130996617 1952525.8010183503, 954627.8361508057 1952584.26017729, 954712.0096469993 1952634.711829336, 954800.7229514603 1952676.670097499, 954893.1217065708 1952709.7309007198, 954988.3160618092 1952733.5758453908, 955085.3892434958 1952747.9752916598, 955183.4063838253 1952752.7905649876, 955281.4235241549 1952747.9752916598, 955378.4967058415 1952733.5758453908, 955473.6910610799 1952709.7309007198, 955566.0898161904 1952676.670097499, 955654.8031206514 1952634.711829336, 955738.976616845 1952584.26017729, 955817.799667989 1952525.8010183503, 955890.5131650119 1952459.897346174, 955956.4168371881 1952387.1838491512, 956014.8759961278 1952308.360798007, 956065.3276481737 1952224.1873018136, 956107.2859163366 1952135.4739973526, 956140.3467195575 1952043.075242242, 956164.1916642286 1951947.8808870036, 956178.5911104976 1951850.8077053172, 956183.4063838253 1951752.7905649876))",80,25,35,9
어반스테이 명동 님이 호스팅하는 레지던스 전체2,2,1,1,1.0,121260,,37.564326,126.992977,POINT (955222.5210803228 1951783.6449456357),247.18707550383516,을지로3가역,109.40848182632867,초동,"POLYGON ((956222.5210803228 1951783.6449456357, 956217.705806995 1951685.627805306, 956203.306360726 1951588.5546236197, 956179.461416055 1951493.3602683812, 956146.400612834 1951400.9615132706, 956104.4423446711 1951312.2482088096, 956053.9906926253 1951228.0747126162, 955995.5315336855 1951149.251661472, 955929.6278615093 1951076.5381644492, 955856.9143644865 1951010.634492273, 955778.0913133424 1950952.1753333332, 955693.9178171488 1950901.7236812874, 955605.2045126879 1950859.7654131243, 955512.8057575773 1950826.7046099035, 955417.611402339 1950802.8596652325, 955320.5382206524 1950788.4602189634, 955222.5210803228 1950783.6449456357, 955124.5039399932 1950788.4602189634, 955027.4307583066 1950802.8596652325, 954932.2364030683 1950826.7046099035, 954839.8376479577 1950859.7654131243, 954751.1243434967 1950901.7236812874, 954666.9508473031 1950952.1753333332, 954588.1277961591 1951010.634492273, 954515.4142991363 1951076.5381644492, 954449.5106269601 1951149.251661472, 954391.0514680203 1951228.0747126162, 954340.5998159745 1951312.2482088096, 954298.6415478116 1951400.9615132706, 954265.5807445906 1951493.3602683812, 954241.7357999196 1951588.5546236197, 954227.3363536505 1951685.627805306, 954222.5210803228 1951783.6449456357, 954227.3363536505 1951881.6620859653, 954241.7357999196 1951978.7352676517, 954265.5807445906 1952073.9296228902, 954298.6415478116 1952166.3283780008, 954340.5998159745 1952255.0416824617, 954391.0514680203 1952339.2151786552, 954449.5106269601 1952418.0382297994, 954515.4142991363 1952490.7517268222, 954588.1277961591 1952556.6553989984, 954666.9508473031 1952615.1145579382, 954751.1243434967 1952665.566209984, 954839.8376479577 1952707.524478147, 954932.2364030683 1952740.5852813679, 955027.4307583066 1952764.430226039, 955124.5039399932 1952778.829672308, 955222.5210803228 1952783.6449456357, 955320.5382206524 1952778.829672308, 955417.611402339 1952764.430226039, 955512.8057575773 1952740.5852813679, 955605.2045126879 1952707.524478147, 955693.9178171488 1952665.566209984, 955778.0913133424 1952615.1145579382, 955856.9143644865 1952556.6553989984, 955929.6278615093 1952490.7517268222, 955995.5315336855 1952418.0382297994, 956053.9906926253 1952339.2151786552, 956104.4423446711 1952255.0416824617, 956146.400612834 1952166.3283780008, 956179.461416055 1952073.9296228902, 956203.306360726 1951978.7352676517, 956217.705806995 1951881.6620859653, 956222.5210803228 1951783.6449456357))",79,24,35,9
Kay 님이 호스팅하는 레지던스 전체,2,1,1,1.0,96509,,37.565788,126.992372,POINT (955169.9666001796 1951946.1349647716),82.89842044405678,을지로3가역,82.99888116883464,을지로3가,"POLYGON ((956169.9666001796 1951946.1349647716, 956165.1513268518 1951848.117824442, 956150.7518805828 1951751.0446427555, 956126.9069359117 1951655.850287517, 956093.8461326908 1951563.4515324065, 956051.8878645279 1951474.7382279455, 956001.436212482 1951390.564731752, 955942.9770535423 1951311.741680608, 955877.0733813661 1951239.028183585, 955804.3598843432 1951173.1245114089, 955725.5368331992 1951114.665352469, 955641.3633370056 1951064.2137004232, 955552.6500325446 1951022.2554322602, 955460.251277434 1950989.1946290394, 955365.0569221957 1950965.3496843684, 955267.9837405091 1950950.9502380993, 955169.9666001796 1950946.1349647716, 955071.94945985 1950950.9502380993, 954974.8762781634 1950965.3496843684, 954879.681922925 1950989.1946290394, 954787.2831678145 1951022.2554322602, 954698.5698633535 1951064.2137004232, 954614.3963671599 1951114.665352469, 954535.5733160159 1951173.1245114089, 954462.859818993 1951239.028183585, 954396.9561468168 1951311.741680608, 954338.4969878771 1951390.564731752, 954288.0453358312 1951474.7382279455, 954246.0870676683 1951563.4515324065, 954213.0262644474 1951655.850287517, 954189.1813197763 1951751.0446427555, 954174.7818735073 1951848.117824442, 954169.9666001796 1951946.1349647716, 954174.7818735073 1952044.1521051012, 954189.1813197763 1952141.2252867876, 954213.0262644474 1952236.419642026, 954246.0870676683 1952328.8183971366, 954288.0453358312 1952417.5317015976, 954338.4969878771 1952501.705197791, 954396.9561468168 1952580.5282489352, 954462.859818993 1952653.241745958, 954535.5733160159 1952719.1454181343, 954614.3963671599 1952777.604577074, 954698.5698633535 1952828.05622912, 954787.2831678145 1952870.014497283, 954879.681922925 1952903.0753005038, 954974.8762781634 1952926.9202451748, 955071.94945985 1952941.3196914438, 955169.9666001796 1952946.1349647716, 955267.9837405091 1952941.3196914438, 955365.0569221957 1952926.9202451748, 955460.251277434 1952903.0753005038, 955552.6500325446 1952870.014497283, 955641.3633370056 1952828.05622912, 955725.5368331992 1952777.604577074, 955804.3598843432 1952719.1454181343, 955877.0733813661 1952653.241745958, 955942.9770535423 1952580.5282489352, 956001.436212482 1952501.705197791, 956051.8878645279 1952417.5317015976, 956093.8461326908 1952328.8183971366, 956126.9069359117 1952236.419642026, 956150.7518805828 1952141.2252867876, 956165.1513268518 1952044.1521051012, 956169.9666001796 1951946.1349647716))",82,21,30,10
서울의 중심 풀옵션 레지던스 #19,2,1,1,1.0,98823,,37.562303,126.992597,POINT (955187.7495842444 1951559.3844118158),162.3929121226437,충무로역,97.55297747241273,충무로역.매일경제,"POLYGON ((956187.7495842444 1951559.3844118158, 956182.9343109167 1951461.3672714862, 956168.5348646477 1951364.2940897997, 956144.6899199766 1951269.0997345613, 956111.6291167557 1951176.7009794507, 956069.6708485928 1951087.9876749897, 956019.2191965469 1951003.8141787963, 955960.7600376072 1950924.991127652, 955894.856365431 1950852.2776306293, 955822.1428684081 1950786.373958453, 955743.3198172641 1950727.9147995133, 955659.1463210705 1950677.4631474675, 955570.4330166095 1950635.5048793044, 955478.034261499 1950602.4440760836, 955382.8399062606 1950578.5991314126, 955285.766724574 1950564.1996851435, 955187.7495842444 1950559.3844118158, 955089.7324439149 1950564.1996851435, 954992.6592622283 1950578.5991314126, 954897.46490699 1950602.4440760836, 954805.0661518794 1950635.5048793044, 954716.3528474184 1950677.4631474675, 954632.1793512248 1950727.9147995133, 954553.3563000808 1950786.373958453, 954480.6428030579 1950852.2776306293, 954414.7391308817 1950924.991127652, 954356.279971942 1951003.8141787963, 954305.8283198961 1951087.9876749897, 954263.8700517332 1951176.7009794507, 954230.8092485123 1951269.0997345613, 954206.9643038412 1951364.2940897997, 954192.5648575722 1951461.3672714862, 954187.7495842444 1951559.3844118158, 954192.5648575722 1951657.4015521454, 954206.9643038412 1951754.4747338318, 954230.8092485123 1951849.6690890703, 954263.8700517332 1951942.0678441809, 954305.8283198961 1952030.7811486418, 954356.279971942 1952114.9546448353, 954414.7391308817 1952193.7776959795, 954480.6428030579 1952266.4911930023, 954553.3563000808 1952332.3948651785, 954632.1793512248 1952390.8540241183, 954716.3528474184 1952441.305676164, 954805.0661518794 1952483.2639443271, 954897.46490699 1952516.324747548, 954992.6592622283 1952540.169692219, 955089.7324439149 1952554.569138488, 955187.7495842444 1952559.3844118158, 955285.766724574 1952554.569138488, 955382.8399062606 1952540.169692219, 955478.034261499 1952516.324747548, 955570.4330166095 1952483.2639443271, 955659.1463210705 1952441.305676164, 955743.3198172641 1952390.8540241183, 955822.1428684081 1952332.3948651785, 955894.856365431 1952266.4911930023, 955960.7600376072 1952193.7776959795, 956019.2191965469 1952114.9546448353, 956069.6708485928 1952030.7811486418, 956111.6291167557 1951942.0678441809, 956144.6899199766 1951849.6690890703, 956168.5348646477 1951754.4747338318, 956182.9343109167 1951657.4015521454, 956187.7495842444 1951559.3844118158))",81,25,40,6
"명동뷰, 넷플릭스 복층 3인, 남산케이블카 3분거리, 루프탑 바베큐, 2021년 리모델링",3,1,2,1.0,113922,,37.556446,126.985766,POINT (954580.8975835331 1950912.8590714952),506.63243517083623,명동역,241.35283637026427,남산케이블카,"POLYGON ((955580.8975835331 1950912.8590714952, 955576.0823102053 1950814.8419311657, 955561.6828639363 1950717.7687494792, 955537.8379192653 1950622.5743942407, 955504.7771160443 1950530.1756391302, 955462.8188478814 1950441.4623346692, 955412.3671958356 1950357.2888384757, 955353.9080368958 1950278.4657873316, 955288.0043647196 1950205.7522903087, 955215.2908676967 1950139.8486181325, 955136.4678165527 1950081.3894591928, 955052.2943203591 1950030.937807147, 954963.5810158981 1949988.979538984, 954871.1822607876 1949955.918735763, 954775.9879055492 1949932.073791092, 954678.9147238627 1949917.674344823, 954580.8975835331 1949912.8590714952, 954482.8804432035 1949917.674344823, 954385.8072615169 1949932.073791092, 954290.6129062786 1949955.918735763, 954198.214151168 1949988.979538984, 954109.500846707 1950030.937807147, 954025.3273505134 1950081.3894591928, 953946.5042993694 1950139.8486181325, 953873.7908023465 1950205.7522903087, 953807.8871301704 1950278.4657873316, 953749.4279712306 1950357.2888384757, 953698.9763191848 1950441.4623346692, 953657.0180510218 1950530.1756391302, 953623.9572478009 1950622.5743942407, 953600.1123031299 1950717.7687494792, 953585.7128568608 1950814.8419311657, 953580.8975835331 1950912.8590714952, 953585.7128568608 1951010.8762118248, 953600.1123031299 1951107.9493935113, 953623.9572478009 1951203.1437487497, 953657.0180510218 1951295.5425038603, 953698.9763191848 1951384.2558083213, 953749.4279712306 1951468.4293045148, 953807.8871301704 1951547.252355659, 953873.7908023465 1951619.9658526818, 953946.5042993694 1951685.869524858, 954025.3273505134 1951744.3286837977, 954109.500846707 1951794.7803358436, 954198.214151168 1951836.7386040066, 954290.6129062786 1951869.7994072274, 954385.8072615169 1951893.6443518985, 954482.8804432035 1951908.0437981675, 954580.8975835331 1951912.8590714952, 954678.9147238627 1951908.0437981675, 954775.9879055492 1951893.6443518985, 954871.1822607876 1951869.7994072274, 954963.5810158981 1951836.7386040066, 955052.2943203591 1951794.7803358436, 955136.4678165527 1951744.3286837977, 955215.2908676967 1951685.869524858, 955288.0043647196 1951619.9658526818, 955353.9080368958 1951547.252355659, 955412.3671958356 1951468.4293045148, 955462.8188478814 1951384.2558083213, 955504.7771160443 1951295.5425038603, 955537.8379192653 1951203.1437487497, 955561.6828639363 1951107.9493935113, 955576.0823102053 1951010.8762118248, 955580.8975835331 1950912.8590714952))",71,24,45,6
N.Designer's home/Whole house/3min_Seoul station31,2,1,2,1.0,25999,,37.562328,126.977996,POINT (953898.2410846492 1951569.2201969773),267.80146968691486,시청역,115.67678979334357,숭례문앞,"POLYGON ((954898.2410846492 1951569.2201969773, 954893.4258113215 1951471.2030566477, 954879.0263650524 1951374.1298749612, 954855.1814203814 1951278.9355197228, 954822.1206171605 1951186.5367646122, 954780.1623489975 1951097.8234601512, 954729.7106969517 1951013.6499639577, 954671.251538012 1950934.8269128136, 954605.3478658358 1950862.1134157907, 954532.6343688129 1950796.2097436145, 954453.8113176689 1950737.7505846748, 954369.6378214753 1950687.298932629, 954280.9245170143 1950645.340664466, 954188.5257619037 1950612.279861245, 954093.3314066654 1950588.434916574, 953996.2582249788 1950574.035470305, 953898.2410846492 1950569.2201969773, 953800.2239443196 1950574.035470305, 953703.1507626331 1950588.434916574, 953607.9564073947 1950612.279861245, 953515.5576522842 1950645.340664466, 953426.8443478232 1950687.298932629, 953342.6708516296 1950737.7505846748, 953263.8478004856 1950796.2097436145, 953191.1343034627 1950862.1134157907, 953125.2306312865 1950934.8269128136, 953066.7714723467 1951013.6499639577, 953016.3198203009 1951097.8234601512, 952974.361552138 1951186.5367646122, 952941.300748917 1951278.9355197228, 952917.455804246 1951374.1298749612, 952903.056357977 1951471.2030566477, 952898.2410846492 1951569.2201969773, 952903.056357977 1951667.2373373068, 952917.455804246 1951764.3105189933, 952941.300748917 1951859.5048742318, 952974.361552138 1951951.9036293423, 953016.3198203009 1952040.6169338033, 953066.7714723467 1952124.7904299968, 953125.2306312865 1952203.613481141, 953191.1343034627 1952276.3269781638, 953263.8478004856 1952342.23065034, 953342.6708516296 1952400.6898092797, 953426.8443478232 1952451.1414613256, 953515.5576522842 1952493.0997294886, 953607.9564073947 1952526.1605327094, 953703.1507626331 1952550.0054773805, 953800.2239443196 1952564.4049236495, 953898.2410846492 1952569.2201969773, 953996.2582249788 1952564.4049236495, 954093.3314066654 1952550.0054773805, 954188.5257619037 1952526.1605327094, 954280.9245170143 1952493.0997294886, 954369.6378214753 1952451.1414613256, 954453.8113176689 1952400.6898092797, 954532.6343688129 1952342.23065034, 954605.3478658358 1952276.3269781638, 954671.251538012 1952203.613481141, 954729.7106969517 1952124.7904299968, 954780.1623489975 1952040.6169338033, 954822.1206171605 1951951.9036293423, 954855.1814203814 1951859.5048742318, 954879.0263650524 1951764.3105189933, 954893.4258113215 1951667.2373373068, 954898.2410846492 1951569.2201969773))",141,38,96,9
urbanstay : 서울살이 로망을 실현해보세요 #취사가능 #long-termSTAY,2,1,1,1.0,121260,,37.563177,126.993249,POINT (955245.8554200829 1951656.0396132146),207.08232184547572,충무로역,22.337504857365804,초동,"POLYGON ((956245.8554200829 1951656.0396132146, 956241.0401467552 1951558.022472885, 956226.6407004861 1951460.9492911985, 956202.7957558151 1951365.75493596, 956169.7349525942 1951273.3561808495, 956127.7766844312 1951184.6428763885, 956077.3250323854 1951100.469380195, 956018.8658734456 1951021.646329051, 955952.9622012695 1950948.932832028, 955880.2487042466 1950883.0291598518, 955801.4256531026 1950824.570000912, 955717.252156909 1950774.1183488662, 955628.538852448 1950732.1600807032, 955536.1400973374 1950699.0992774824, 955440.9457420991 1950675.2543328113, 955343.8725604125 1950660.8548865423, 955245.8554200829 1950656.0396132146, 955147.8382797533 1950660.8548865423, 955050.7650980668 1950675.2543328113, 954955.5707428284 1950699.0992774824, 954863.1719877179 1950732.1600807032, 954774.4586832569 1950774.1183488662, 954690.2851870633 1950824.570000912, 954611.4621359193 1950883.0291598518, 954538.7486388964 1950948.932832028, 954472.8449667202 1951021.646329051, 954414.3858077804 1951100.469380195, 954363.9341557346 1951184.6428763885, 954321.9758875717 1951273.3561808495, 954288.9150843507 1951365.75493596, 954265.0701396797 1951460.9492911985, 954250.6706934107 1951558.022472885, 954245.8554200829 1951656.0396132146, 954250.6706934107 1951754.0567535441, 954265.0701396797 1951851.1299352306, 954288.9150843507 1951946.324290469, 954321.9758875717 1952038.7230455796, 954363.9341557346 1952127.4363500406, 954414.3858077804 1952211.609846234, 954472.8449667202 1952290.4328973782, 954538.7486388964 1952363.146394401, 954611.4621359193 1952429.0500665773, 954690.2851870633 1952487.509225517, 954774.4586832569 1952537.9608775629, 954863.1719877179 1952579.919145726, 954955.5707428284 1952612.9799489467, 955050.7650980668 1952636.8248936178, 955147.8382797533 1952651.2243398868, 955245.8554200829 1952656.0396132146, 955343.8725604125 1952651.2243398868, 955440.9457420991 1952636.8248936178, 955536.1400973374 1952612.9799489467, 955628.538852448 1952579.919145726, 955717.252156909 1952537.9608775629, 955801.4256531026 1952487.509225517, 955880.2487042466 1952429.0500665773, 955952.9622012695 1952363.146394401, 956018.8658734456 1952290.4328973782, 956077.3250323854 1952211.609846234, 956127.7766844312 1952127.4363500406, 956169.7349525942 1952038.7230455796, 956202.7957558151 1951946.324290469, 956226.6407004861 1951851.1299352306, 956241.0401467552 1951754.0567535441, 956245.8554200829 1951656.0396132146))",80,24,39,7
