단지명,전용면적,위도,경도,지하철역까지(m),환율,맛집,문화공간,문화재,쇼핑,버스정류장까지(m),버스정류장,금리,보증금고려월세,지하철역,소비자물가지수,종합주가지수,주택담보대출금리,예측일일가격,예측월세가격,기존월세가격,월수입차액,주소
남산타운,84.88,37.54716677,127.0056772,153.7732237,1205.4,30,13,28,6,38.78579685,버티고개,1.25,59.16666667,버티고개역,105.3,2724.02,2.88,35.62689,374.0823,59.16666667,314.91563923820314,서울특별시 중구 신당동
서울역센트럴자이,84.9918,37.55478004,126.9644582,546.5467807,1187.6,47,20,55,4,161.2238443,손기정체육공원입구,1.25,61.04166667,충정로(경기대입구)역,104.69,2865.55,2.82,34.579514,363.08487,61.04166667,302.04320271476564,서울특별시 중구 만리동2가
래미안하이베르,84.98,37.56103798,127.0209858,524.9534945,1197.8,44,15,23,27,264.0077329,동화동,1.25,66.375,신당역,104.69,2865.55,2.82,34.245266,359.57532,66.375,293.2003173828125,서울특별시 중구 신당동
서울역한라비발디센트럴,84.9774,37.55457358,126.9658471,376.5303457,1196.0,67,24,65,4,37.00312507,손기정체육공원입구,1.25,106.2916667,서울역,105.3,2724.02,2.88,36.415077,382.35828,106.2916667,276.0666096671875,서울특별시 중구 만리동2가
롯데캐슬,84.97,37.57081055,127.0214639,533.6157523,1311.7,21,7,4,23,99.4277459,황학동롯데캐슬,2.25,120.5,신설동역,108.74,2362.79,3.17,37.03225,388.83862,120.5,268.338623046875,서울특별시 중구 황학동
남산타운,84.88,37.54716677,127.0056772,153.7732237,1199.4,30,13,28,6,38.78579685,버티고개,1.25,106.25,버티고개역,105.3,2724.02,2.88,35.62957,374.11047,106.25,267.8604736328125,서울특별시 중구 신당동
롯데캐슬,84.92,37.57081055,127.0214639,533.6157523,1274.6,21,7,4,23,99.4277459,황학동롯데캐슬,1.75,119.375,신설동역,107.56,2628.34,3.03,36.767582,386.0596,119.375,266.6846008300781,서울특별시 중구 황학동
장충,62.48,37.55925649,127.0016754,347.6796584,1265.7,99,33,57,28,100.4579539,동국대입구앰배서더호텔,1.75,54.375,동대입구역,107.56,2628.34,3.03,30.53938,320.66348,54.375,266.2884826660156,서울특별시 중구 장충동2가
장충,62.48,37.55925649,127.0016754,347.6796584,1265.7,99,33,57,28,100.4579539,동국대입구앰배서더호텔,1.75,54.375,동대입구역,107.56,2628.34,3.03,30.53938,320.66348,54.375,266.2884826660156,서울특별시 중구 장충동2가
삼성사이버빌리지,84.93,37.55892666,126.9643209,86.42285254,1341.4,73,29,74,4,66.59799483,종근당.충정로역,2.5,119.1666667,충정로(경기대입구)역,108.62,2479.57,3.27,36.330566,381.47095,119.1666667,262.304280565625,서울특별시 중구 중림동
약수하이츠,84.88,37.5551916,127.0163594,358.1312623,1299.3,47,17,24,13,392.9343566,신당동대우푸르지오.금호여중,2.25,124.375,신금호역,108.74,2362.79,3.17,36.092747,378.97382,124.375,254.59881591796875,서울특별시 중구 신당동
LIG서울역리가,84.9866,37.55627298,126.966883,421.6932281,1274.6,74,30,74,4,168.6162443,서울의료보건고등학교.서울역서부,1.75,117.3958333,서울역,107.56,2628.34,3.03,34.815712,365.56494,117.3958333,248.16910810625,서울특별시 중구 만리동1가
남산타운,84.88,37.54716677,127.0056772,153.7732237,1347.7,30,13,28,6,38.78579685,버티고개,2.5,150.4166667,버티고개역,108.62,2479.57,3.27,37.40528,392.75546,150.4166667,242.3387959464844,서울특별시 중구 신당동
삼성V아파트A동,81.63,37.56147917,127.0159827,201.1764724,1341.4,63,19,26,31,115.7527868,신당동떡볶이타운.중구여성플라자,2.5,151.25,청구역,108.62,2479.57,3.27,36.883118,387.27274,151.25,236.02273559570312,서울특별시 중구 신당동
삼성V아파트A동,81.63,37.56147917,127.0159827,201.1764724,1341.4,63,19,26,31,115.7527868,신당동떡볶이타운.중구여성플라자,2.5,151.25,청구역,108.62,2479.57,3.27,36.883118,387.27274,151.25,236.02273559570312,서울특별시 중구 신당동
서울역한라비발디센트럴,84.9774,37.55457358,126.9658471,376.5303457,1199.4,67,24,65,4,37.00312507,손기정체육공원입구,1.25,146.875,서울역,105.3,2724.02,2.88,36.415077,382.35828,146.875,235.4832763671875,서울특별시 중구 만리동2가
서울역한라비발디센트럴,71.9832,37.55457358,126.9658471,376.5303457,1196.0,67,24,65,4,37.00312507,손기정체육공원입구,1.25,115.2083333,서울역,105.3,2724.02,2.88,33.347996,350.15396,115.2083333,234.94562788164063,서울특별시 중구 만리동2가
약수하이츠,84.88,37.5551916,127.0163594,358.1312623,1418.0,47,17,24,13,392.9343566,신당동대우푸르지오.금호여중,3.25,163.0833333,신금호역,109.1,2417.56,3.62,37.812973,397.0362,163.0833333,233.95286054765623,서울특별시 중구 신당동
삼성사이버빌리지,84.95,37.55892666,126.9643209,86.42285254,1205.7,73,29,74,4,66.59799483,종근당.충정로역,1.25,140.8333333,충정로(경기대입구)역,105.3,2724.02,2.88,35.644238,374.2645,140.8333333,233.43116254960933,서울특별시 중구 중림동
