역명,역사위치경도,역사위치위도
미사역,127.193877,37.560927
강일역,127.17593,37.55749
김포공항역,126.801868,37.56236
고촌역,126.770345,37.601243
풍무역,126.732387,37.612488
사우(김포시청)역,126.719731,37.620249
걸포북변역,126.705975,37.63165
운양역,126.68393,37.653867
장기역,126.669017,37.643986
마산역,126.644344,37.640732
구래역,126.628633,37.645384
양촌역,126.614309,37.642379
원시역,126.786691,37.302371
원곡역,126.796261,37.31321
초지역,126.808147,37.319619
선부역,126.809904,37.334353
달미역,126.809409,37.348847
시흥능곡역,126.808573,37.369864
시흥시청역,126.805625,37.382223
신현역,126.788017,37.409008
신천역,126.786788,37.439066
시흥대야역,126.793041,37.450145
소새울역,126.797252,37.468467
소사역,126.795023,37.483279
신설동역,127.023242,37.576095
보문역,127.019381,37.585286
성신여대입구(돈암)역,127.016516,37.592467
정릉역,127.013396,37.603133
북한산보국문역,127.008251,37.612072
솔샘역,127.013626,37.620238
삼양사거리역,127.020473,37.621337
삼양역,127.018106,37.626914
화계역,127.017511,37.634133
가오리역,127.016789,37.641537
4.19민주묘지역,127.013684,37.649502
솔밭공원역,127.013273,37.65603
북한산우이역,127.012706,37.662909
탑석역,127.088704,37.733579
송산역,127.087159,37.737279
어룡역,127.085035,37.742802
곤제역,127.083715,37.750471
효자역,127.076902,37.754025
경기도청북부청사역,127.071495,37.75059
새말역,127.06362,37.748885
동오역,127.056947,37.745271
의정부중앙역,127.049565,37.743676
흥선역,127.037023,37.743302
의정부시청역,127.034781,37.739256
경전철의정부역,127.043257,37.737202
범골역,127.04353,37.728755
회룡역,127.047073,37.725006
발곡역,127.052803,37.727048
전대.에버랜드역,127.219561,37.285342
둔전역,127.21364,37.267051
보평역,127.218457,37.258965
고진역,127.214251,37.24484
운동장.송담대역,127.209198,37.237845
김량장역,127.198781,37.237247
명지대역,127.190294,37.237964
시청.용인대역,127.178406,37.239151
삼가역,127.168075,37.242115
초당역,127.159443,37.260752
동백역,127.152716,37.269043
어정역,127.143714,37.274917
지석역,127.136515,37.269606
강남대역,127.126033,37.270161
기흥역,127.116665,37.275449
관악산(서울대)역,126.9450639,37.4691018
서울대벤처타운역,126.9339351,37.4720019
서원역,126.9330365,37.4782341
신림역,126.9296159,37.4849266
당곡역,126.9275133,37.4902998
보라매병원역,126.9234964,37.4929598
보라매공원역,126.9180827,37.4955691
보라매역,126.9204355,37.5002739
서울지방병무청역,126.9227083,37.5060464
대방역,126.9257265,37.5133059
샛강역,126.929399,37.5170969
광교(경기대)역,127.044483,37.30211
광교중앙(아주대)역,127.051478,37.288617
상현역,127.069342,37.297664
성복역,127.0801,37.313335
수지구청역,127.095026,37.322702
동천역,127.102976,37.337928
미금역,127.108918,37.349982
정자역,127.108403,37.367098
판교역,127.112217,37.394761
청계산입구역,127.055664,37.447211
양재시민의숲(매헌)역,127.03842,37.470023
양재(서초구청)역,127.034653,37.483809
강남역,127.028104,37.496837
신논현역,127.02506,37.504598
논현역,127.021415,37.511093
신사역,127.020114,37.516334
영종역,126.524254,37.51202
인천공항2터미널역,126.441442,37.460699
인천공항1터미널역,126.452508,37.447464
공항화물청사역,126.477516,37.459041
운서역,126.49379,37.492904
청라국제도시역,126.624648,37.556409
검암역,126.674007,37.569098
계양역,126.7363,37.571662
김포공항역,126.801904,37.561842
마곡나루역,126.827378,37.565543
디지털미디어시티역,126.898609,37.576958
홍대입구역,126.926715,37.557438
공덕역,126.952024,37.54253
서울역,126.969769,37.553247
중앙보훈병원역,127.148739,37.529191
둔촌오륜역,127.137989,37.519683
올림픽공원(한국체대)역,127.130288,37.516269
한성백제역,127.116503,37.516404
송파나루역,127.112216,37.510372
석촌역,127.10704,37.505208
석촌고분역,127.097033,37.502558
삼전역,127.088025,37.504738
종합운동장역,127.076275,37.511426
봉은사역,127.060245,37.514219
삼성중앙역,127.053282,37.513011
선정릉역,127.043999,37.510297
언주역,127.033868,37.507287
신논현역,127.02506,37.504598
사평역,127.015259,37.504206
고속터미널역,127.004403,37.50598
신반포역,126.995925,37.503415
구반포역,126.987332,37.501364
동작(현충원)역,126.978153,37.502878
흑석(중앙대입구)역,126.963708,37.50877
노들역,126.953222,37.512887
노량진역,126.941005,37.513534
샛강역,126.928422,37.517274
여의도역,126.92403,37.52176
국회의사당역,126.917874,37.528105
당산역,126.902809,37.533406
선유도역,126.893525,37.53802
신목동역,126.88308,37.544277
염창역,126.874916,37.546936
등촌역,126.865689,37.550632
증미역,126.861939,37.557402
가양역,126.854456,37.561391
양천향교역,126.841333,37.568381
마곡나루역,126.82731,37.566778
신방화역,126.816601,37.567532
공항시장역,126.810678,37.563726
김포공항역,126.802152,37.561916
개화역,126.798153,37.578608
석남(거북시장)역,126.6762813,37.5062285
산곡역,126.7035277,37.5086
부평구청역,126.72077,37.50848
굴포천역,126.73234,37.50681
삼산체육관역,126.74179,37.50724
상동역,126.753163,37.505814
부천시청역,126.76364,37.50444
신중동역,126.77566,37.50282
춘의역,126.78828,37.50365
부천종합운동장역,126.79661,37.50502
까치울역,126.81093,37.50613
운연(서창)역,126.75997,37.440127
인천대공원역,126.752618,37.448769
남동구청역,126.736939,37.448161
만수역,126.732094,37.454911
모래내시장역,126.719298,37.45583
석천사거리역,126.709986,37.456805
인천시청역,126.701306,37.456833
석바위시장역,126.692575,37.457611
시민공원(문화창작지대)역,126.681192,37.458335
주안역,126.679098,37.464992
주안국가산단역,126.68113,37.473703
가재울역,126.683673,37.484192
인천가좌역,126.675208,37.4897
서부여성회관역,126.675795,37.500168
석남(거북시장)역,126.676203,37.506193
가정중앙시장역,126.676672,37.517054
가정(루원시티)역,126.675539,37.524649
서구청역,126.676787,37.543742
아시아드경기장(공촌사거리)역,126.677122,37.5517
검바위역,126.677566,37.561405
검암역,126.675687,37.56866
독정역,126.675844,37.585212
완정역,126.673203,37.592928
마전역,126.666998,37.597566
검단사거리역,126.657108,37.60185
왕길역,126.642696,37.59518
검단오류(검단산업단지)역,126.627178,37.594877
송도달빛축제공원역,126.62597,37.407143
국제업무지구역,126.630347,37.399907
센트럴파크역,126.634729,37.393054
인천대입구역,126.639484,37.386007
지식정보단지역,126.645168,37.378384
테크노파크역,126.656365,37.382268
캠퍼스타운역,126.661673,37.387855
동막역,126.674005,37.397878
동춘역,126.681015,37.404737
원인재역,126.687869,37.412333
신연수역,126.693863,37.41804
선학역,126.698863,37.426684
문학경기장역,126.698579,37.434935
인천터미널역,126.699706,37.442383
예술회관역,126.701012,37.449396
인천시청역,126.702143,37.457263
간석오거리역,126.707938,37.467048
부평삼거리역,126.710208,37.477679
동수역,126.718247,37.485312
부평역,126.723453,37.490535
부평시장역,126.722244,37.498383
부평구청역,126.720555,37.508407
갈산역,126.721514,37.517268
작전역,126.722527,37.530415
경인교대입구역,126.722597,37.538157
계산역,126.728128,37.543238
임학역,126.738665,37.545059
박촌역,126.745077,37.553703
귤현역,126.742654,37.566379
계양역,126.73578,37.571449
남위례역,127.13977,37.4624
모란역,127.129837,37.433824
수진역,127.140722,37.437428
신흥역,127.147564,37.440918
단대오거리역,127.156866,37.44521
남한산성입구(성남법원.검찰청)역,127.159816,37.451535
산성역,127.149908,37.457122
복정역,127.126732,37.471052
장지역,127.126191,37.478703
문정역,127.1225,37.485855
가락시장역,127.118398,37.492888
송파역,127.112183,37.499703
석촌역,127.106832,37.505557
잠실(송파구청)역,127.104338,37.514692
몽촌토성(평화의문)역,127.112359,37.517409
강동구청역,127.120508,37.530341
천호(풍납토성)역,127.123254,37.538113
암사역,127.127562,37.55021
부평구청역,126.721599,37.507394
굴포천역,126.73128,37.506997
삼산체육관역,126.742153,37.506411
